REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO,TOTAL
ASIA,KOREA (SOUTH),GWANGYANG,0.0,1132.0,32.0,0.0,700.0,0.0,0.0,0.0,0.0,1864.0
ASIA,KOREA (SOUTH),INCHEON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASIA,MALAYSIA,JOHOR,0.0,6011.0,0.0,0.0,517.0,0.0,0.0,0.0,0.0,6528.0
ASIA,MALAYSIA,PORT KLANG,0.0,68064.0,2297.0,0.0,1760.0,18730.0,145.0,4807.0,0.0,95803.0
ASIA,SAUDI ARABIA,JEDDAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,1500.0
ASIA,SINGAPORE,SINGAPORE,0.0,4057.0,4111.0,0.0,15231.0,133499.0,610.0,14028.0,1067.0,172603.0
ASIA,TAIWAN,KAOHSIUNG,0.0,0.0,6332.0,0.0,30446.0,1722.0,0.0,3147.0,0.0,41647.0
ASIA,UAE,DUBAI,0.0,0.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0
TOTAL ASIA,NAN,,0.0,79269.0,22646.0,0.0,65021.0,154391.0,1025.0,23968.0,1067.0,347387.0
,NAN,,,,,,,,,,,
EUROPE,BELGIUM,ANTWERP,0.0,1825.0,0.0,0.0,0.0,74.0,10.0,334.0,0.0,2243.0
EUROPE,GERMANY,HAMBURG,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0
EUROPE,ITALY,GENOA,0.0,1010.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,1094.0
EUROPE,ITALY,LEGHORN,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0
EUROPE,ITALY,TRIESTE,0.0,29208.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,29222.0
EUROPE,NETHERLANDS,AMSTERDAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,NETHERLANDS,MOERDIJK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,NETHERLANDS,ROTTERDAM,0.0,31108.0,15.0,0.0,8540.0,44.0,1360.0,995.0,1104.0,43166.0
EUROPE,NETHERLANDS,VLISSINGEN,0.0,0.0,0.0,0.0,820.0,147.0,0.0,0.0,0.0,967.0
EUROPE,SPAIN,BARCELONA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,SPAIN,BILBAO,0.0,5.0,0.0,0.0,160.0,0.0,3.0,0.0,0.0,168.0
EUROPE,SWEDEN,HELSINGBORG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,UK,HULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,UK,LIVERPOOL,0.0,2013.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,2385.0
TOTAL EUROPE,NAN,,0.0,65169.0,3265.0,0.0,9892.0,265.0,1471.0,1329.0,1104.0,82495.0
,NAN,,,,,,,,,,,
NORTH AMERICAS,USA,BALTIMORE,0.0,7634.0,3971.0,0.0,2839.0,0.0,50.0,0.0,0.0,14494.0
NORTH AMERICAS,USA,CHICAGO,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
NORTH AMERICAS,USA,DETROIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH AMERICAS,USA,LOS ANGELES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH AMERICAS,USA,MOBILE,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
NORTH AMERICAS,USA,NEW ORLEANS,0.0,1.0,15748.0,0.0,274.0,0.0,0.0,1898.0,0.0,17921.0
NORTH AMERICAS,USA,OWENSBORO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH AMERICAS,USA,TOLEDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL NORTH AMERICAS,NAN,,0.0,7784.0,19728.0,0.0,3113.0,0.0,50.0,1898.0,0.0,32573.0
,NAN,,,,,,,,,,,
,NAN,,,,,,,,,,,
GLOBAL TOTAL,NAN,,0.0,152222.0,45639.0,0.0,78026.0,154656.0,2546.0,27195.0,2171.0,462455.0
,NAN,,,,,,,,,,,
,NAN,,,,,,,,,,,
"© All the information contained within this report is provided for reference purposes only. While the LME endeavours to ensure the accuracy, reliability and completeness of the information, ",NAN,,,,,,,,,,,
"neither the LME, nor any of its affiliates makes any warranty or representation, express or implied, or accepts any responsibility or liability for, the accuracy, completeness, reliability or suitability of the information for any particular purpose. ",NAN,,,,,,,,,,,
"The LME accepts no liability whatsoever to any person for any loss or damage arising from any inaccuracy or omission in the information or from any consequence, decision, action or non-action based on or in reliance upon the information.",NAN,,,,,,,,,,,
"The LME shall not be responsible or be held liable for any party’s act or omission carried out in reliance on, or in connection with, any of the information provided to the LME.",NAN,,,,,,,,,,,
"Distribution, redistribution, reproduction, modification or transmission of the information in whole or in part, in any form or by any means are strictly prohibited without the prior written permission of the LME. ",NAN,,,,,,,,,,,
"The information does not, and is not intended to, constitute investment advice, commentary or a recommendation to make any investment decision.",NAN,,,,,,,,,,,
The LME is not acting for any person to whom it has provided the information. Persons receiving the information are not clients of the LME and accordingly the LME is not responsible for providing any such persons with regulatory or other protections.,NAN,,,,,,,,,,,
"All persons in receipt of the information should obtain independent investment, legal, tax and other relevant advice before making any decisions based on the information.",NAN,,,,,,,,,,,
